Freq.	V(vout)/V(n001)
1.54881661891248e+003	(-4.03986654858768e+000dB,-5.10922728947296e+001°)
1.58489319246111e+003	(-4.18440051286787e+000dB,-5.18513839583088e+001°)
1.62181009735892e+003	(-4.33314291768817e+000dB,-5.26115628157065e+001°)
1.65958690743755e+003	(-4.48619156926098e+000dB,-5.33725198391104e+001°)
1.69824365246174e+003	(-4.64364893391742e+000dB,-5.41339706580856e+001°)
1.73780082874937e+003	(-4.80562274652826e+000dB,-5.48956370238091e+001°)
1.77827941003892e+003	(-4.97222668382103e+000dB,-5.56572476413968e+001°)
1.81970085860998e+003	(-5.14358110902529e+000dB,-5.64185389655608e+001°)
1.86208713666286e+003	(-5.31981389524684e+000dB,-5.71792559552456e+001°)
1.90546071796324e+003	(-5.50106133612860e+000dB,-5.79391527833361e+001°)
1.94984459975804e+003	(-5.68746915373695e+000dB,-5.86979934980159e+001°)
1.99526231496887e+003	(-5.87919361526199e+000dB,-5.94555526328548e+001°)
2.04173794466952e+003	(-6.07640277209293e+000dB,-6.02116157632266e+001°)
2.08929613085403e+003	(-6.27927783719320e+000dB,-6.09659800071873e+001°)
2.13796208950222e+003	(-6.48801471953612e+000dB,-6.17184544694678e+001°)
2.18776162394954e+003	(-6.70282573777630e+000dB,-6.24688606277538e+001°)
2.23872113856833e+003	(-6.92394153945433e+000dB,-6.32170326609296e+001°)
2.29086765276776e+003	(-7.15161325702731e+000dB,-6.39628177194410e+001°)
2.34422881531991e+003	(-7.38611493809539e+000dB,-6.47060761383821e+001°)
2.39883291901948e+003	(-7.62774629462201e+000dB,-6.54466815943363e+001°)
2.45470891568502e+003	(-7.87683582506710e+000dB,-6.61845212073746e+001°)
2.51188643150957e+003	(-8.13374437461314e+000dB,-6.69194955899663e+001°)
2.57039578276885e+003	(-8.39886921264506e+000dB,-6.76515188448488e+001°)
2.63026799189537e+003	(-8.67264872410727e+000dB,-6.83805185141668e+001°)
2.69153480392690e+003	(-8.95556783331246e+000dB,-6.91064354823994e+001°)
2.75422870333815e+003	(-9.24816430656137e+000dB,-6.98292238357662e+001°)
2.81838293126444e+003	(-9.55103611535466e+000dB,-7.05488506809287e+001°)
2.88403150312659e+003	(-9.86485008749004e+000dB,-7.12652959258924e+001°)
2.95120922666637e+003	(-1.01903521322953e+001dB,-7.19785520260577e+001°)
3.01995172040200e+003	(-1.05283794032983e+001dB,-7.26886236983858e+001°)
3.09029543251358e+003	(-1.08798748632816e+001dB,-7.33955276066174e+001°)
3.16227766016836e+003	(-1.12459048521181e+001dB,-7.40992920204350e+001°)
3.23593656929627e+003	(-1.16276804402447e+001dB,-7.47999564513780e+001°)
3.31131121482590e+003	(-1.20265835992994e+001dB,-7.54975712682187e+001°)
3.38844156139201e+003	(-1.24441995646514e+001dB,-7.61921972943846e+001°)
